route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
Q28,CS_E0-Weekday-SDon-089200_MISC_799,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q280066
Q12,CS_E0-Weekday-SDon-089200_Q12_16,CS_E0-Weekday-SDon,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q44+,CS_E0-Weekday-SDon-089300_SBS44_57,CS_E0-Weekday-SDon,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q13,CS_E0-Weekday-SDon-089400_MISC_783,CS_E0-Weekday-SDon,FORT TOTTEN,0,Q130033
Q28,CS_E0-Weekday-SDon-089500_MISC_779,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q280065
Q16,CS_E0-Weekday-SDon-089500_MISC_791,CS_E0-Weekday-SDon,FORT TOTTEN via FRANCIS LEWIS,0,Q160036
Q12,CS_E0-Weekday-SDon-089500_Q12_20,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q17,CS_E0-Weekday-SDon-089600_MISC_719,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,0,Q170047
Q20A,CS_E0-Weekday-SDon-089600_Q20_19,CS_E0-Weekday-SDon,JAMAICA MERRICK BL via 20 AV via MAIN ST,1,Q20A0042
Q76,CS_E0-Weekday-SDon-089600_Q26_2,CS_E0-Weekday-SDon,COLLEGE PT 20 AV via FRANCIS LEWIS,0,Q760034
Q48,CS_E0-Weekday-SDon-089600_Q48_4,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,0,Q480008
Q31,CS_E0-Weekday-SDon-089700_MISC_721,CS_E0-Weekday-SDon,BAYSIDE 27 AV FRANCIS LEWIS BL,0,Q310026
Q76,CS_E0-Weekday-SDon-089700_MISC_745,CS_E0-Weekday-SDon,COLLEGE PT 20 AV via FRANCIS LEWIS,0,Q760032
Q31,CS_E0-Weekday-SDon-089700_MISC_755,CS_E0-Weekday-SDon,BAYSIDE 27 AV FRANCIS LEWIS BL,0,Q310026
Q13,CS_E0-Weekday-SDon-089700_MISC_773,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q130034
Q28,CS_E0-Weekday-SDon-089700_Q28_4,CS_E0-Weekday-SDon,BAY TERRACE BELL BL,0,Q280064
Q17,CS_E0-Weekday-SDon-089700_Q31_3,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,0,Q170047
Q32,CS_E0-Weekday-SDon-089800_MISC_749,CS_E0-Weekday-SDon,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042
Q17,CS_E0-Weekday-SDon-089800_MISC_752,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,0,Q170048
Q32,CS_E0-Weekday-SDon-089800_Q32_18,CS_E0-Weekday-SDon,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320044
Q44+,CS_E0-Weekday-SDon-089800_SBS44_29,CS_E0-Weekday-SDon,SELECT BUS JAMAICA via MAIN ST,1,SBS440052
Q76,CS_E0-Weekday-SDon-090000_MISC_738,CS_E0-Weekday-SDon,COLLEGE PT 20 AV via FRANCIS LEWIS,0,Q760033
Q31,CS_E0-Weekday-SDon-090000_MISC_800,CS_E0-Weekday-SDon,BAYSIDE 27 AV FRANCIS LEWIS BL,0,Q310027
Q31,CS_E0-Weekday-SDon-090000_MISC_802,CS_E0-Weekday-SDon,JAMAICA LIRR,1,Q310006
Q20B,CS_E0-Weekday-SDon-090000_Q20_31,CS_E0-Weekday-SDon,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0027
Q26,CS_E0-Weekday-SDon-090000_Q26_1,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q260038
Q15A,CS_E0-Weekday-SDon-090100_MISC_733,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION via 10 AV,1,Q15A0048
Q17,CS_E0-Weekday-SDon-090100_MISC_768,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,0,Q170048
