stop_id,stop_name,stop_lat,stop_lon
200292,VICTORY BL/BAY ST,40.637834,-74.076746
200293,VICTORY BL/MONTGOMERY AV,40.638080,-74.077679
200297,CASTLETON AV/CEBRA AV,40.634635,-74.086666
200298,CASTLETON AV/GLEN AV,40.633092,-74.089988
200299,CASTLETON AV/HARBOR VIEW CT,40.633375,-74.092183
200300,CASTLETON AV/HAVENWOOD RD,40.633210,-74.095390
200301,CASTLETON AV/BRIGHTON AV,40.633991,-74.097666
200302,CASTLETON AV/N RANDALL AV,40.634226,-74.099764
200303,CASTLETON AV/CONYINGHAM AV,40.634644,-74.102074
200304,CASTLETON AV/KISSEL AV,40.634762,-74.105025
200306,CASTLETON AV/BARD AV,40.634776,-74.106281
200307,CASTLETON AV/DAVIS AV,40.634775,-74.108556
200308,CASTLETON AV/BEMENT AV,40.634794,-74.111842
200309,CASTLETON AV/N BURGHER AV,40.634810,-74.114407
200310,CASTLETON AV/BROADWAY,40.634584,-74.117749
200311,CASTLETON AV/CAROLINE ST,40.634487,-74.119274
200312,CASTLETON AV/BARKER ST,40.634238,-74.121612
200313,CASTLETON AV/TAYLOR ST,40.634104,-74.123446
200314,CASTLETON AV/CLOVE RD,40.633917,-74.125845
200315,CASTLETON AV/JEWETT AV,40.633850,-74.129761
200316,CASTLETON AV/HEBERTON AV,40.635011,-74.132408
200317,CASTLETON AV/PORT RICHMOND AV,40.636099,-74.134826
200318,CASTLETON AV/SHARPE AV,40.636160,-74.137703
200319,CASTLETON AV/NICHOLAS AV,40.636240,-74.139948
200320,NICHOLAS AV/CHARLES AV,40.635298,-74.140704
200322,INNIS ST/ST JOSEPH AV,40.633783,-74.142537
200323,INNIS ST/EATON PL,40.634502,-74.144639
200327,WALKER ST/PULASKI AV,40.631470,-74.148199
200329,WALKER ST/SIMONSON AV,40.631931,-74.152588
200330,WALKER ST/VAN PELT AV,40.632111,-74.155024
200331,LINDEN AV/VAN PELT AV,40.633873,-74.155554
200332,MAPLE PY/WALLOON ST,40.632724,-74.156614
200333,UNION AV/BRABANT ST,40.631654,-74.158305
200334,BRABANT ST/LOCKMAN AV,40.631737,-74.162106
200335,BRABANT ST/GRANDVIEW AV,40.632202,-74.165083
200340,RICHMOND RD/ENFIELD PL,40.576202,-74.126064
200341,RICHMOND RD/MC CULLY AV,40.574683,-74.129570
200342,RICHMOND RD/HITCHCOCK AV,40.574082,-74.131314
200343,RICHMOND RD/WILDER AV,40.573238,-74.134995
200350,ARTHUR KILL RD/CENTER ST,40.571816,-74.147224
200357,GIFFORDS LA/BARLOW AV,40.559067,-74.153908
200358,GIFFORDS LA/LEVERETTE AV,40.557037,-74.152954
200359,GIFFORDS LA/WOODLAND AV,40.555286,-74.152234
200361,NELSON AV/AMBOY RD,40.550038,-74.150987
