route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
S53,CA_F0-Sunday-089600_MISC_471,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
S53,CA_F0-Sunday-089900_MISC_466,CA_F0-Sunday,PORT RICHMOND,1,S530128
S76,CA_F0-Sunday-090000_MISC_428,CA_F0-Sunday,OAKWOOD MILL RD,1,S760085
SIM3C,CA_F0-Sunday-090000_MISC_441,CA_F0-Sunday,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0059
S52,CA_F0-Sunday-090000_MISC_444,CA_F0-Sunday,S I HOSPITAL SEAVIEW AV,1,S520123
S51,CA_F0-Sunday-090000_MISC_463,CA_F0-Sunday,GRANT CITY via BAY ST via FT WADSWORTH,1,S510094
S40,CA_F0-Sunday-090000_MISC_469,CA_F0-Sunday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S46,CA_F0-Sunday-090000_S4696_304,CA_F0-Sunday,WEST SHORE PLZ via CASTLETON,1,S460283
S48,CA_F0-Sunday-090000_S4898_303,CA_F0-Sunday,ARLINGTON HOLLAND AV via FOREST,1,S480093
S40,CA_F0-Sunday-090500_MISC_462,CA_F0-Sunday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S52,CA_F0-Sunday-090500_MISC_465,CA_F0-Sunday,ST GEORGE FERRY,0,S520126
SIM33C,CA_F0-Sunday-090500_SIM33_303,CA_F0-Sunday,MIDTOWN via CHURCH via MADISON AV,0,SIM330083
S53,CA_F0-Sunday-090800_MISC_472,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
SIM3C,CA_F0-Sunday-091000_MISC_434,CA_F0-Sunday,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0064
S48,CA_F0-Sunday-091000_MISC_464,CA_F0-Sunday,ST GEORGE FERRY via FOREST,0,S480103
S76,CA_F0-Sunday-091000_MISC_470,CA_F0-Sunday,ST GEORGE FERRY,0,S760080
S46,CA_F0-Sunday-091000_S4696_305,CA_F0-Sunday,ST GEORGE FERRY via CASTLETON,0,S460279
S53,CA_F0-Sunday-091100_S53_303,CA_F0-Sunday,PORT RICHMOND,1,S530128
SIM33C,CA_F0-Sunday-091500_MISC_429,CA_F0-Sunday,MARINERS HARBOR via N GANNON AV,1,SIM330082
S48,CA_F0-Sunday-091500_MISC_433,CA_F0-Sunday,ARLINGTON HOLLAND AV via FOREST,1,S480093
S46,CA_F0-Sunday-091500_MISC_451,CA_F0-Sunday,WEST SHORE PLZ via CASTLETON,1,S460283
S40,CA_F0-Sunday-091500_S4090_304,CA_F0-Sunday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_F0-Sunday-092000_MISC_422,CA_F0-Sunday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S51,CA_F0-Sunday-092000_MISC_432,CA_F0-Sunday,ST GEORGE FERRY via BAY ST,0,S510105
S53,CA_F0-Sunday-092000_MISC_452,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
S53,CA_F0-Sunday-092300_MISC_467,CA_F0-Sunday,PORT RICHMOND,1,S530128
S46,CA_F0-Sunday-092500_MISC_421,CA_F0-Sunday,ST GEORGE FERRY via CASTLETON,0,S460279
S48,CA_F0-Sunday-092500_MISC_446,CA_F0-Sunday,ST GEORGE FERRY via FOREST,0,S480103
S52,CA_F0-Sunday-093000_MISC_430,CA_F0-Sunday,S I HOSPITAL SEAVIEW AV,1,S520123
S76,CA_F0-Sunday-093000_MISC_438,CA_F0-Sunday,OAKWOOD MILL RD,1,S760085
S40,CA_F0-Sunday-093000_MISC_440,CA_F0-Sunday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S48,CA_F0-Sunday-093000_MISC_442,CA_F0-Sunday,ARLINGTON HOLLAND AV via FOREST,1,S480093
SIM3C,CA_F0-Sunday-093000_MISC_445,CA_F0-Sunday,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0059
S46,CA_F0-Sunday-093000_MISC_450,CA_F0-Sunday,WEST SHORE PLZ via CASTLETON,1,S460283
S51,CA_F0-Sunday-093000_MISC_473,CA_F0-Sunday,GRANT CITY via BAY ST,1,S510093
S53,CA_F0-Sunday-093200_MISC_454,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
