route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
B44+,MTA NYCT,B44-SBS,Sheepshead Bay - Williamsburg,Select Bus Service via Nostrand Av,3
B45,MTA NYCT,B45,Downtown Brooklyn - Crown Heights,via St Johns Place,3
B46,MTA NYCT,B46,Kings Plaza - Williamsburg,via Utica Av - Malcolm X Blvd,3
B46+,MTA NYCT,B46-SBS,Kings Plaza - Williamsburg,Select Bus Service via Utica Av - Malcolm X Blvd,3
B47,MTA NYCT,B47,Kings Plaza - Bedford-Stuyvesant,via Broadway / Ralph Av / Avenue U,3
B48,MTA NYCT,B48,Lefferts Gardens - Greenpoint,via Lorimer St / Franklin & Classon Av,3
B49,MTA NYCT,B49,Manhattan Beach - Bedford-Stuyvesant,via Ocean Av / Bedford & Rogers Av,3
B52,MTA NYCT,B52,Downtown Brooklyn - Ridgewood,via Gates Av,3
B54,MTA NYCT,B54,Downtown Brooklyn - Ridgewood,via Myrtle Av,3
B57,MTA NYCT,B57,Gowanus - Maspeth,via Flushing Av,3
B6,MTA NYCT,B6,Bath Beach - East New York,via Bay Pkwy / Avenue J / Flatlands Av,3
B60,MTA NYCT,B60,Williamsburg - Canarsie,via Wilson Av / Rockaway Av,3
B61,MTA NYCT,B61,Park Slope - Downtown Brooklyn,via Van Brunt St / Columbia St / 9th St,3
B62,MTA NYCT,B62,Downtown Brooklyn - Long Island City,via Bklyn Navy Yard / Manhattan Av / Jackson Av,3
B63,MTA NYCT,B63,Bay Ridge - Cobble Hill,via 5th Av / Atlantic Av,3
B64,MTA NYCT,B64,Bay Ridge - Coney Island,via Bay Ridge Av / Bath Av,3
B65,MTA NYCT,B65,Downtown Brooklyn - Crown Heights,via Bergen St & Dean St,3
B67,MTA NYCT,B67,Brooklyn Navy Yard - Kensington,via Flatbush Av / 7th Av / McDonald Av,3
B68,MTA NYCT,B68,Coney Island - Windsor Terrace,via Coney Island Av / Brighton Beach Av,3
B69,MTA NYCT,B69,Downtown Brooklyn - Kensington,via Vanderbilt Av / 7th Av / McDonald Av,3
B7,MTA NYCT,B7,Midwood - Bedford-Stuyvesant,via Kings Hwy / Saratoga Av,3
B70,MTA NYCT,B70,Dyker Heights - Sunset Park,via 92nd St / 3rd Av / 8th Av,3
B74,MTA NYCT,B74,Sea Gate - Stillwell Av,via Mermaid Av,3
B8,MTA NYCT,B8,Dyker Heights - East Flatbush,via 18th Av / Foster Av / Avenue D,3
B82,MTA NYCT,B82,Coney Island - Spring Creek Towers,via Bay Pkwy / Kings Hwy / Flatlands Av,3
B82+,MTA NYCT,B82-SBS,Coney Island -spring Creek Towers,select Bus service via Bay Pkwy / Kings Hwy / Flatlands Av,3
B83,MTA NYCT,B83,Spring Creek - Broadway Junction,via Van Siclen Av / Pennsylvania Av,3
B84,MTA NYCT,B84,Spring Creek-New Lots,via Ashford Street/Flatlands Avenue,3
B9,MTA NYCT,B9,Bay Ridge - Kings Plaza,via 60th St / Avenue M,3
B91,MTA NYCT,B91, Williamsburg Link - Loop,via Union St / Driggs Av,3
B91A,MTA NYCT,B91A, Williamsburg Link - Loop,via Marcy Av / Bedford Av,3
B92,MTA NYCT,B92, Williamsburg Link - Loop,via Bedford Av / Metropolitan Av,3
BX3,MTA NYCT,Bx3,Riverdale - George Washington Bridge,via University Av / W 181st St,3
BX4,MTA NYCT,Bx4,Westchester Sq - The Hub,via Westchester Av,3
BX4A,MTA NYCT,Bx4A,Westchester Sq - The Hub,via Metropolitan Oval / Westchester Av,3
BX5,MTA NYCT,Bx5,Pelham Bay - West Farms Rd & Southern Blvd,via Bruckner Blvd Svc Rd / Story Av,3
BX6,MTA NYCT,Bx6,Hunts Point - Riverside Dr,via E 161st St / E 163rd St,3
BX6+,MTA NYCT,Bx6-SBS,Hunts Point - Riverside Dr,Select Bus Service via E 161st St / E 163rd St,3
BX7,MTA NYCT,Bx7,Riverdale - Washington Heights,via Riverdale Av / Broadway,3
BX8,MTA NYCT,Bx8,Williamsbridge - Locust Point,via Bronxwood Av / Williamsbridge Rd / Crosby Av,3
BX9,MTA NYCT,Bx9,Riverdale - West Farms Sq,via Broadway / Kingsbridge Rd / Southern Blvd,3
BX1,MTA NYCT,Bx1,Riverdale - Mott Haven,via Grand Concourse / E 138th St,3
BX10,MTA NYCT,Bx10,Riverdale - Norwood,via Riverdale Av / W 231st St / Jerome Av,3
BX11,MTA NYCT,Bx11,West Farms Rd - Southern Blvd & GW Bridge,via Claremont Pkwy / E 170th St,3
BX12,MTA NYCT,Bx12,Pelham Pkwy - Fordham Rd,via Pelham Pkwy / Fordham Rd,3
BX12+,MTA NYCT,Bx12-SBS,Pelham Pkwy - Fordham Rd,Select Bus Service via Pelham Pkwy / Fordham Rd / Bay Plaza Shop Ctr,3
BX13,MTA NYCT,Bx13,George Washington Bridge - Yankee Stadium,via Ogden Av / W 181st St,3
BX15,MTA NYCT,Bx15,Fordham Plaza - Manhattanville,via 3rd Av / 125th St,3
BX16,MTA NYCT,Bx16,Pelham - Norwood,via E 233rd St / Nereid Av,3
BX17,MTA NYCT,Bx17,Fordham Plaza - Port Morris,via Crotona Av / Prospect Av,3
BX18,MTA NYCT,Bx18,Tremont - Morris Heights,via Macombs Rd,3
BX19,MTA NYCT,Bx19,NY Botanical Garden - Riverbank Park,via Southern Blvd / E 149th St,3
BX2,MTA NYCT,Bx2,Kingsbridge Heights - Mott Haven,via Grand Concourse / E 149th St,3
BX20,MTA NYCT,Bx20,Riverdale - Inwood,via Broadway / Henry Hudson Pkwy,3
BX21,MTA NYCT,Bx21,Westchester Sq - Mott Haven,via Morris Park Av / Boston Rd,3
BX22,MTA NYCT,Bx22,Bedford Park - Castle Hill,via Castle Hill Av,3
BX24,MTA NYCT,Bx24,Country Club - Hutchinson Metro Center,via Country Club Loop,3
BX26,MTA NYCT,Bx26,Co-op City Section 5 - Bedford Park,via Allerton Av,3
BX27,MTA NYCT,Bx27,Clasons Pt - West Farms Rd & Southern Blvd,via Westchester Av / Soundview Av,3
BX28,MTA NYCT,Bx28,Co-op City Section 5 - Fordham Center,via E Gun Hill Rd / Bartow Av,3
BX29,MTA NYCT,Bx29,City Island - Co-op City Bay Plaza,via City Island Rd / City Island Av,3
BX30,MTA NYCT,Bx30,Co-op City Section 5 - Norwood,via Boston Rd / E Gun Hill Rd,3
BX31,MTA NYCT,Bx31,Woodlawn - Westchester Sq,via Eastchester Rd,3
BX32,MTA NYCT,Bx32,Kingsbridge VA Hospital - Mott Haven,via Morris Av / Jerome Av,3
BX33,MTA NYCT,Bx33,Port Morris - Harlem,via E 138th St / W 135th St,3
BX34,MTA NYCT,Bx34,Woodlawn - Fordham Center,via Bainbridge Av,3
BX35,MTA NYCT,Bx35,West Farms Rd & Southern Blvd - GW Bridge,via E 167th / W 181st St,3
BX36,MTA NYCT,Bx36,Soundview - George Washington Bridge,via E 174th / E 180th St,3
BX38,MTA NYCT,Bx38,Co-op City Bay Plaza - Norwood,via E Gun Hill Rd / Co-op City Blvd,3
