route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
BX41,GH_F0-Saturday-032000_BX41_3,GH_F0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304,0.0,0
BX4,GH_F0-Saturday-032000_BX44A_X47,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX12,GH_F0-Saturday-032800_BX12_9,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX22,GH_F0-Saturday-033000_BX22_1,GH_F0-Saturday,CASTLE HILL ZEREGA AV,1,BX220116,0.0,0
BX28,GH_F0-Saturday-033000_BX238_2,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-033000_BX402_3,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX40,GH_F0-Saturday-033000_BX402_5,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX4,GH_F0-Saturday-033000_BX44A_101,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX29,GH_F0-Saturday-033000_BX5_301,GH_F0-Saturday,CITY ISLAND,0,BX290067,0.0,0
BX42,GH_F0-Saturday-033400_BX402_2,GH_F0-Saturday,THROGGS NECK HARDING AV via TREMONT,0,BX420150,0.0,0
BX41,GH_F0-Saturday-033400_BX41_1,GH_F0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410306,0.0,0
BX12,GH_F0-Saturday-033500_BX12_4,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX24,GH_F0-Saturday-033500_BX24_401,GH_F0-Saturday,COUNTRY CLUB via PELHAM BAY,0,BX240072,0.0,0
BX41+,GH_F0-Saturday-033500_SBS41_502,GH_F0-Saturday,SELECT BUS THE HUB 3AV - 149ST,1,SBS410065,0.0,0
BX24,GH_F0-Saturday-033900_BX24_402,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX12,GH_F0-Saturday-034000_BX12_1,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX40,GH_F0-Saturday-034000_BX402_X61,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX4,GH_F0-Saturday-034000_BX44A_X48,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX28,GH_F0-Saturday-034500_BX238_8,GH_F0-Saturday,FORDHAM CENTER 192 ST via GUNHILL,1,BX280273,0.0,0
