route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
M101,OH_E0-Weekday-096300_M101_71,OH_E0-Weekday,LIMITED EAST VILLAGE 6 ST via LEX AV,1,M1010381
M15,OH_E0-Weekday-096500_M15_45,OH_E0-Weekday,EAST HARLEM 125 ST via 1 AV,0,M150421
M15,OH_E0-Weekday-096600_M15_35,OH_E0-Weekday,SOUTH FERRY via 2 AV,1,M150424
M103,OH_E0-Weekday-096700_M101_57,OH_E0-Weekday,CITY HALL via LEX AV,1,M1030199
M101,OH_E0-Weekday-096700_M101_90,OH_E0-Weekday,LIMITED FT GEORGE 193 ST via 3 AV,0,M1010401
M31,OH_E0-Weekday-096800_M31_17,OH_E0-Weekday,CLINTON 11 AV via 57 ST,1,M310176
M102,OH_E0-Weekday-097000_M101_84,OH_E0-Weekday,EAST VILLAGE 6 ST via LEX AV,1,M1020135
M101,OH_E0-Weekday-097000_M101_86,OH_E0-Weekday,LIMITED EAST VILLAGE 6 ST via LEX AV,1,M1010381
M31,OH_E0-Weekday-097000_M31_7,OH_E0-Weekday,YORKVILLE 91 ST via YORK AV,0,M310173
M102,OH_E0-Weekday-097100_M101_134,OH_E0-Weekday,HARLEM 147 ST via 3 AV,0,M1020139
M35,OH_E0-Weekday-097200_M15_20,OH_E0-Weekday,HARLEM LEX AV-125 ST,1,M350089
M103,OH_E0-Weekday-097400_M101_61,OH_E0-Weekday,EAST HARLEM 125 ST via 3 AV,0,M1030204
M35,OH_E0-Weekday-097400_M15_32,OH_E0-Weekday,RANDALLS IS WARDS IS,0,M350084
M101,OH_E0-Weekday-097500_M101_125,OH_E0-Weekday,LIMITED FT GEORGE 193 ST via 3 AV,0,M1010401
M15,OH_E0-Weekday-097500_M15_31,OH_E0-Weekday,EAST HARLEM 125 ST via 1 AV,0,M150429
M15,OH_E0-Weekday-097600_M15_34,OH_E0-Weekday,PIKE ST - DIVISION ST via 2 AV,1,M150425
M101,OH_E0-Weekday-097700_M101_124,OH_E0-Weekday,LIMITED EAST VILLAGE 6 ST via LEX AV,1,M1010381
